HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
σός σή σόν;مال تو، ِ تو (مفرد ὑμέτερος);صفت (صرف اول و دوم);ضمیر/ادات پرسش;142
γιγνώσκω, γνώσομαι, ἔγνων, ἔγνωκα, ἔγνωσμαι, ἐγνώσθην;فرا گرفتن، فهمیدن، تمییز دادن (+رایی و اسم مصدر);فعل (مختوم به صامت کامی);ذهن، دریافت، و یادگیری;143
τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα. τέτυγμαι, ἐτύχθην;"رخ دادن، پیش آمدن؛ نائل شدن، موفق شدن";فعل (مختوم به صامت روان);انسان و هستی;144
ἵστημι στήσω will set, ἔστησα set, caused to stand, 2 aor. ἔστην stood, ἕστηκα stand, plup. εἱστήκη stood, ἐστάθην stood;ایستاندن، قرار دادن، برپا کردن;فعل (مختوم به μι);کار و فراغت;145
ἅμα;هم‌زمان، همراه با (+برایی);قید;زمان;146
ἄγω, ἄξω, ἤγαγον, ἦχα, ἦγμαι, ἤχθην;رهبری کردن، راه نمودن، آوردن، گذراندن;فعل (مختوم به صامت کامی);حرکت;147
τρόπος τρόπου, ὁ;شیوه، طریق، طرز، خوی;اسم (صرف دوم);خصوصیات;148
μήτε...μήτε;"و نه؛ نه... و نه...؛ نه این و نه آن";حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;149
μέσος μέση μέσον;"میان، میانه، معتدل؛ τὸ μέσον: وسط";صفت (صرف اول و دوم);سنجش و شمارش;150
ἀλλήλων –οις;(با) یکدیگر، متقابلا;ضمیر;ضمیر/ادات پرسش;151
ἀεί;همواره، همیشه;قید;زمان;152
φίλος φίλη φίλον; عزیز، دوست، مهربان;صفت (صرف اول و دوم);روابط، خانه و خانواده;153
, συμβήσομαι, 2 aor. συνέβην, συμβέβηκα;توافق کردن، مطابقت کردن، روی دادن;فعل (مختوم به صامت روان);روابط، خانه و خانواده;154
ἔργον ἔργου, τό;کار، عمل، کردار;اسم (صرف دوم);کار و فراغت;155
πλέω, πλεύσομαι, ἔπλευσα, πέπλευκα, πέπλευσμαι, ἐπλεύσθην;کشتی رانی کردن، دریا نوردیدن، ;فعل (ادغام شده);جامعه و حکومت;156
τότε;"آنگاه، آن زمان، سپس؛οἱ τότε: مردم آن روزگار، متضاد οἱ νῦν: مردم روزگار ما";قید;زمان;157
μήν;(ادات تاکید);قید;ادات;158
χρή, impf. χρῆν or ἐχρῆν, infin. χρῆναι;لازم است، بایستی... (+اسم مصدر و رایی);فعل (غیرشخصی);اخلاق و ارزش‌ها;159
δείκνυμι, δείξω, ἔδειξα, δέδειχα, δέδειγμαι, ἐδείχθην;نشان دادن، نمایاندن;فعل (مختوم به μι);یافتن و نمایاندن;160
ζῷον ζῴου, τό;جاندار، حیوان;اسم (صرف دوم);گیاهان و جانداران;161
πρᾶγμα πράγματος, τό;اشیا، امور، شرایط;اسم (صرف سوم مختوم به صامت);کار و فراغت;162
ἐναντίος ἐναντία ἐναντίον;متضاد، مقابل;حرف اضافه;جهت;163
τίθημι, θήσω, ἔθηκα, τέθηκα, τέθειμαι (but usu. κεῖμαι instead), ἐτέθην;گذاشتن، قرار دادن، برقرار کردن;فعل (مختوم به μι);کار و فراغت;164
εἶδον, 2 aor. of ὁράω, act. infin. ἰδεῖν, mid.infin. ἰδέσθαι;دیدم;فعل (بی‌قاعده);ادراکات و احساسات;165
χείρ χειρός, ἡ;دست;اسم (صرف سوم مختوم به صامت);اجزا بدن;166
μηδέ;و نه، نه حتی;حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;167
ὀλίγος ὀλίγη ὀλίγον;کم، کوچک، اندک;صفت (صرف اول و دوم);سنجش و شمارش;168
νόμος νόμου, ὁ;رسم، سنت، قاعده;اسم (صرف دوم);عدل و داد;169
κοινός –ή –όν;متداول، مرسوم، مشترک;صفت (صرف اول و دوم);جامعه و حکومت;170
οἴομαι or οἶμαι, οἰήσομαι, impf. ᾤμην, aor. ᾠήθην;پنداشتن، انگاشتن، اندیشیدن;فعل (مجهول‌نما);ذهن، دریافت، و یادگیری;171
κινέω, κινήσω, ἐκίνησα, κεκίνηκα, κεκίνημαι, ἐκινήθην;جنباندن، حرکت دادن، به هم زدن;فعل (ادغام شده);حرکت;172
πάσχω, πείσομαι, ἔπαθον, πέπονθα;از سر گذراندن، تحمل کردن، تجربه کردن، آزار دیدن;فعل (مختوم به صامت کامی);مرگ و زندگی;173
πῶς;چگونه؟;قید;ضمیر/ادات پرسش;174
ὅσπερ ἥπερ ὅπερ;همان کس/چیز که;ضمیر;ضمیر/ادات پرسش;175
